Jimmie Gray, 20000167, DS, chasing starlets,building an army,seeking revenge,posing as a street thug,inventing new confectionary,solving crimes,playing rock guitar,writing poetry,punishing criminals,waging a secret war
Bertie Dell, 20000234, CS, writing pop songs,promoting conservative values,chasing starlets,blanketing staff with memos,coining sparkling witticisms,playing drums,losing weight,ranting about liberals,running a bureaucracy,promoting Kaballah
Tari Cash, 20000226, CS, promoting conservative values,writing poetry,starring in pornographic movies,running a bureaucracy,promoting new wars,selling cheap airline seats,holding evasive press conferences,chasing starlets,blanketing staff with memos,promoting Kaballah
Rosaline Flagg, 20000318, CS, running a bureaucracy,coining sparkling witticisms,ranting about liberals,writing pop songs,promoting Kaballah,chasing starlets,issuing threats,singing torch songs,promoting air travel,writing poetry
Bernard Townsend, 20000417, CS, starring in TV shows,promoting Kaballah,blanketing staff with memos,coining sparkling witticisms,issuing threats,ranting about liberals,losing weight,promoting conservative values,running a bureaucracy,enriching uranium
Gabriel Webster, 20000161, CS, issuing threats,writing pop songs,promoting Catholic values,losing weight,singing pop songs,promoting conservative values,running a bureaucracy,selling cheap airline seats,writing historical fiction,running the FBI
Kathryn Ramirez, 20000041, CS, promoting Kaballah,ranting about liberals,coining sparkling witticisms,starring in TV shows,selling cheap airline seats,writing pop songs,over-acting,blanketing staff with memos,losing weight,writing poetry
Melody Owens, 20000442, CS, playing drums,promoting Kaballah,singing pop songs,writing pop songs,offering gnostic advice,coining sparkling witticisms,running a budget airline,singing torch songs,promoting conservative values,writing historical fiction
Kimberly Henderson, 20000033, DS, interpreting evidence,promoting Catholic values,chasing terrorists,counting money,amassing wealth,selling cheap airline seats,seeking revenge,planning assassinations,finding clues,preventing crime
Gordon Coleman, 20000142, DS, arresting drug dealers,writing poetry,posing as a street thug,tracking down terrorists,pioneering new technologies,killing murderers,enriching uranium,blanketing staff with memos,playing rock guitar,promoting Catholic values
